key,type,title,date,publicationTitle,university,url,extra
Q3A6UB9K,journalArticle,Local Body Shape Control of an Articulated Mobile Robot and an Application for Recovery from a Stuck State,2022-00-00 2022,Advanced Robotics,,,"source_line: M. Nakajima, S. Fukumura, K. Tanaka, T. Masuya, `Advanced Robotics`
section: 国外
origin: GS 后补
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
TM8GXWVD,journalArticle,Model Validation of Articulated Heavy-Duty Vehicle via IPG for Tracking Controller Design,2023-00-00 2023,Transportation Research Procedia,,,"source_line: T. Kabbani, P. Sarhadi, M. Ghazali, C. P. Gamage, M. Adam, `Transportation Research Procedia`
section: 国外
origin: GS 后补
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
GBI98S59,journalArticle,"Modelling, Verification and Analysis of Articulated Steer Vehicles and a New Way to Eliminate Jack-knife and Snaking Behaviour",2019-00-00 2019,International Journal of Heavy Vehicle Systems,,,"source_line: Y. Gao, Y. Shen, Y. Yang, W. Zhang, D. Cao, `International Journal of Heavy Vehicle Systems`
section: 国外
origin: GS 后补
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
FHXRJ3GF,journalArticle,Motion Primitives Planning for Center-Articulated Vehicles,2024-00-00 2024,IROS 2024,,,"source_line: J. Hu, F. Yang, F. Nan, M. Hutter, `IROS 2024`
section: 国外
origin: GS 后补
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
J8AR6EZ4,journalArticle,Multi-performance Analyses and Design Optimisation of Hydro-pneumatic Suspension System for an Articulated Frame-Steered Vehicle,2019-00-00 2019,Vehicle System Dynamics,,,"source_line: Y. Yin, S. Rakheja, P. E. Boileau, `Vehicle System Dynamics`
section: 国外
origin: GS 后补
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
NM6B2B8K,journalArticle,Nonlinear 6-DOF Dynamic Simulations for Center-Articulated Vehicles with Combined CG,2022-00-00 2022,IFAC-PapersOnLine,,,"source_line: T. Badar, J. Backman, U. Tariq, A. Visala, `IFAC-PapersOnLine`
section: 国外
origin: GS 后补
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
WQQL69LN,journalArticle,On-line Stability Margin and Attitude Estimation for Dynamic Articulating Mobile Robots,2005-00-00 2005,The International Journal of Robotics Research,,,"source_line: A. Diaz-Calderon, A. Kelly, `The International Journal of Robotics Research`
section: 国外
origin: 马
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
9SWTVTLD,journalArticle,Path Following Bi-directional Controller for Articulated Vehicles,2018-00-00 2018,HVTT15,,,"source_line: A. Tomar, R. Kusumakar, A. Naren, `HVTT15`
section: 国外
origin: GS 后补
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
V5ND7LNZ,journalArticle,Path-following Control by Dynamic Virtual Terrain Field for Articulated Steer Vehicles,2020-00-00 2020,Vehicle System Dynamics,,,"source_line: Y. Gao, D. Cao, Y. Shen, `Vehicle System Dynamics`
section: 国外
origin: GS 后补
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
6IRMIRFK,journalArticle,Research on Stability of a 2 DOF Articulated Vehicle,2011-00-00 2011,Advanced Materials Research,,,"source_line: Wei Wei, Xinhui Liu, Yanli Chen, `Advanced Materials Research`
section: 国外
origin: 宁
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
EXSFEKXA,journalArticle,Semi-Autonomous Stair Climbing Control for an Articulated Mobile Robot by Propagating a Single Backward Wave,2024-00-00 2024,Journal of Robotics and Mechatronics,,,"source_line: N. Mizuki, F. Kosuke, T. Motoyasu, `Journal of Robotics and Mechatronics`
section: 国外
origin: GS 后补
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
5I9R7TDQ,journalArticle,Smooth Control of an Articulated Mobile Robot with Switching Constraints,2016-00-00 2016,Advanced Robotics,,,"source_line: M. Tanaka, M. Nakajima, K. Tanaka, `Advanced Robotics`
section: 国外
origin: GS 后补
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
IUAA8EXP,journalArticle,Some Notes on the Steering of Tracked Vehicles by Articulation,1964-00-00 1964,Terramechanics,,,"source_line: C. J. Nuttall Jr., `Terramechanics`
section: 国外
origin: 宁
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
ECRXPFLH,journalArticle,Steering and Control of a Passively Articulated Robot,2001-00-00 2001,Proceedings of SPIE,,,"source_line: Benjamin Shamah et al., `Proceedings of SPIE`
section: 国外
origin: 宁
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
CJA9MLK2,journalArticle,Theoretical Analysis of the Steering Behaviour of Articulated Frame Steer Vehicles,1986-00-00 1986,Vehicle System Dynamics,,,"source_line: D. N. L. Horton, D. A. Crolla, `Vehicle System Dynamics`
section: 国外
origin: 李
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
F9EC2WXQ,journalArticle,Trajectory Planning for an Articulated Tracked Vehicle and Tracking the Trajectory via an Adaptive Model Predictive Control,2023-00-00 2023,Electronics,,,"source_line: K. Hu, K. Cheng, `Electronics`
section: 国外
origin: GS 后补
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
E9YU2I7R,journalArticle,五轮铰接式月球机器人的运动学建模,2001-00-00 2001,机器人,,,"source_line: 刘方湖、马培荪、曹志奎、姚沁，`机器人`
section: 国内
origin: 宁
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
PNBJAYEI,journalArticle,俄罗斯铰接式全地形车,2011-00-00 2011,国外坦克,,,"source_line: 李补莲、叶晓彤，`国外坦克`
section: 国内
origin: 宁
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
W8HLBE6A,journalArticle,六轮铰接车转向能力的分析与仿真,2016-00-00 2016,河南科技大学学报（自然科学版）,,,"source_line: 贾小平、杨众、于魁龙、姬鹏飞、陈剑龙，`河南科技大学学报（自然科学版）`
section: 国内
origin: GS 后补
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
JGIMIG55,thesis,具有2自由度铰接车体的越野车辆液压驱动系统动态特性研究,2013-00-00 2013,,吉林大学,,"source_line: 赵庆波，吉林大学学位论文
section: 国内
origin: 宁
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
576ZD8S2,journalArticle,军用铰接式工程机械高速行驶稳定性研究,2003-00-00 2003,中国工程机械学报,,,"source_line: 刘建勋、王红坚、何绍华，`中国工程机械学报`
section: 国内
origin: 宁
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
WTDKE7JZ,journalArticle,农用轮式铰接车辆滑模轨迹跟踪控制算法,2015-00-00 2015,农业工程学报,,,"source_line: 赵翾、杨珏、张文明、曾珺，`农业工程学报`
section: 国内
origin: GS 后补
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
2KQX62RG,journalArticle,利用斯太尔重型汽车技术开发城市铰接大客车,1994-00-00 1994,重型汽车,,,"source_line: 韩冰，`重型汽车`
section: 国内
origin: 宁
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
AMCRDP5R,journalArticle,协同牵引铰接式重载车辆系统的动力学建模及稳定性分析,2025-00-00 2025,机械工程学报,,,"source_line: 张宁、王浩潭、张钱辰、邵梁、王成、李普、殷国栋，`机械工程学报`
section: 国内
origin: GS 后补
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
8EPNGFB2,journalArticle,双桥独立驱动铰接车辆牵引力控制策略研究,2019-00-00 2019,重庆理工大学学报,,,"source_line: 张君，`重庆理工大学学报`
section: 国内
origin: GS 后补
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
LPJHNIPW,journalArticle,基于AMESim和ADAMS铰接车全液压转向系统分析,2016-00-00 2016,液压与气动,,,"source_line: 解继红、杜勇，`液压与气动`
section: 国内
origin: GS 后补
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
K6F94RI5,journalArticle,基于动力学模型预测控制的铰接车辆多点预瞄路径跟踪方法,2021-00-00 2021,汽车工程,,,"source_line: 李斯旭、徐彪、胡满江、边有钢、陈晓龙、孙宁，`汽车工程`
section: 国内
origin: GS 后补
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
92BM685T,journalArticle,基于多环嵌套的矿山车辆铰接系统差动折腰转向控制策略,2025-00-00 2025,煤炭学报,,,"source_line: 吉志勇、武仲斌、任志勇、张瑞亮、王铁，`煤炭学报`
section: 国内
origin: GS 后补
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
7YCJYBQP,journalArticle,基于横摆运动补偿的煤矿重载铰接车辆主动电液转向控制研究,2024-00-00 2024,煤炭学报,,,"source_line: 任志勇、石琴、赵远、张磊、黄振华，`煤炭学报`
section: 国内
origin: GS 后补
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
IINBMTHQ,journalArticle,基于自抗扰控制的分布式铰接车辆转向控制,2023-00-00 2023,机床与液压,,,"source_line: 曹国栋、王铁、吉志勇、马好娜等，`机床与液压`
section: 国内
origin: GS 后补
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
BA7IIPNZ,journalArticle,多轴轮边驱动铰接客车的横摆稳定性控制策略,2020-00-00 2020,机械工程学报,,,"source_line: 王文伟、赵一凡、张伟、林程，`机械工程学报`
section: 国内
origin: GS 后补
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
GAB6I9I2,journalArticle,求解铰接式车辆动态一级稳定性的动静法,1996-00-00 1996,农业机械学报,,,"source_line: 赵丁选、吴国民等，`农业机械学报`
section: 国内
origin: 李
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
2A9DGC2P,journalArticle,矿用铰接式车辆路径跟踪控制研究现状与进展,2021-00-00 2021,工程科学学报,,,"source_line: 白国星、罗维东、刘立、孟宇、顾青、李凯伦，`工程科学学报`
section: 国内
origin: GS 后补
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
SYFBGYMB,journalArticle,矿用铰接自卸车车架动态特性研究,2011-00-00 2011,煤矿机械,,,"source_line: 吴昊天、李晓、王俊元等，`煤矿机械`
section: 国内
origin: 宁
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
9G5C486Q,journalArticle,融合引导搜索与渐次优化的双轴铰接式车辆狭窄空间运动规划方法,2024-00-00 2024,导航定位与授时,,,"source_line: 李岱伟、高亮、贾博铂、谢杉杉、杨毅等，`导航定位与授时`
section: 国内
origin: GS 后补
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
G5CQ9TA3,journalArticle,适应6轴铰接列车动力性的高速公路最大纵坡坡度和坡长,2018-00-00 2018,交通运输工程学报,,,"source_line: 郭腾峰、张志伟、刘冰、刘建蓓、高晋生，`交通运输工程学报`
section: 国内
origin: GS 后补
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
SNTVGMI2,journalArticle,铰接型移动机器人结构设计与性能分析,2022-00-00 2022,科学技术与工程,,,"source_line: 臧剑南，`科学技术与工程`
section: 国内
origin: GS 后补
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
I48QH2IB,journalArticle,铰接工程车辆稳定性的固有模态,1998-00-00 1998,中国公路学报,,,"source_line: 刘昕晖等，`中国公路学报`
section: 国内
origin: 李
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
8SM2XZJ2,journalArticle,铰接式拖拉机的机构与性能分析,1977-00-00 1977,拖拉机与农用运输车,,,"source_line: 洛阳拖拉机研究所，`拖拉机与农用运输车`
section: 国内
origin: 宁
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
Y2F9TKZ2,journalArticle,铰接式拖拉机静态二级倾翻稳定性分析,1994-00-00 1994,农业机械学报,,,"source_line: 赵丁选、王登峰、程悦荪等，`农业机械学报`
section: 国内
origin: 马
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
S6JZA6MG,journalArticle,铰接式装载机在坡路上的稳定性,1982-00-00 1982,工程机械,,,"source_line: 郭凌汾，`工程机械`
section: 国内
origin: 李
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
7FHYTY7X,journalArticle,铰接式装载机横向稳定性计算,1987-00-00 1987,工程机械,,,"source_line: 郭凌汾、韩永杰，`工程机械`
section: 国内
origin: 马
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
YLV3FWCF,journalArticle,铰接式装载机瞬态转向数学模型,1997-00-00 1997,工程机械,,,"source_line: 汪建春，`工程机械`
section: 国内
origin: 李
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
V6C3P8MR,journalArticle,铰接式装载机重心位置的确定方法,1990-00-00 1990,工程机械,,,"source_line: 赵丁选、燕棠、陈之立等，`工程机械`
section: 国内
origin: 李
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
GH72UECM,journalArticle,铰接式车辆的稳定性研究,1995-00-00 1995,林业劳动安全,,,"source_line: 葛安华、徐克生、涂洪森，`林业劳动安全`
section: 国内
origin: 宁
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
IGGKYUDR,journalArticle,铰接式车辆行驶稳定性的理论分析与数值计算,2004-00-00 2004,吉林大学学报（工学版）,,,"source_line: 刘刚等，`吉林大学学报（工学版）`
section: 国内
origin: 李
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
BQZNHS6I,journalArticle,铰接式车辆静态转向阻力矩分析,1995-00-00 1995,农业机械学报,,,"source_line: 郭凌汾、黄海东等，`农业机械学报`
section: 国内
origin: 宁
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
ASYNF2TT,journalArticle,铰接式车辆高速直线行驶动态仿真,2003-00-00 2003,农业机械学报,,,"source_line: 葛强胜，`农业机械学报`
section: 国内
origin: 李
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
ABYQY34X,journalArticle,铰接矿车电液闭式液压直驱折腰随动转向系统能量分析,2025-00-00 2025,煤炭学报,,,"source_line: 任志勇、武仲斌、赵远、陈利东、薛喆、梁玉芳，`煤炭学报`
section: 国内
origin: GS 后补
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
ZRI3MIPL,journalArticle,铰接矿车阀控全液压折腰转向系统响应特性分析,2025-00-00 2025,煤炭学报,,,"source_line: 韩霏、任志勇，`煤炭学报`
section: 国内
origin: GS 后补
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
AFKBJEV3,book,铰接车辆稳定性及其仿真与控制,1997-00-00 1997,,,,"source_line: 赵丁选，专著，中国铁道出版社
section: 国内
origin: 李、马
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
LP8RC4LH,journalArticle,铰接车辆稳定性的监测与控制方法,1996-00-00 1996,中国公路学报,,,"source_line: 赵丁选、刘昕晖、朱师顺、褚文农，`中国公路学报`
section: 国内
origin: 李
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
RA55FYDK,journalArticle,铰接车辆转向阻力矩的分析,2010-00-00 2010,矿山机械,,,"source_line: 王慧、侯友山、金纯，`矿山机械`
section: 国内
origin: 宁
tag: 铰接车辆发展历程
tag: 三篇文献参考文献整理"
